order_ref,invoice_id,customer_name,customer_email,amount,currency,status,payment_method,created_at,notes
ORD-2024-0073,INV-7714,Singh Motors,test@example.com,1544800,INR,completed,card,2024-06-21T20:19:44,
ORD-2024-0074,INV-8258,Singh Motors,test@example.com,2420900,INR,completed,netbanking,2024-06-15T22:03:43,
ORD-2024-0075,INV-7824,Patel Textiles,test@example.com,21200,INR,completed,upi,2024-07-17T01:15:43,
ORD-2024-0076,INV-2405,Patel Textiles,test@example.com,4953800,INR,completed,card,2024-07-09T20:56:39,
ORD-2024-0077,INV-9212,Joshi Enterprises,test@example.com,4103100,INR,completed,card,2024-07-17T05:08:46,
ORD-2024-0078,INV-4783,Kumar Garments,test@example.com,2755000,INR,completed,upi,2024-06-16T20:51:30,
ORD-2024-0079,INV-9470,Gupta Traders,test@example.com,1788500,INR,completed,wallet,2024-06-27T08:06:10,
ORD-2024-0080,INV-2300,Kumar Garments,test@example.com,611000,INR,completed,card,2024-06-17T11:47:57,
ORD-2024-0081,INV-9154,Desai Foods,test@example.com,733600,INR,completed,upi,2024-06-27T06:29:23,
ORD-2024-0082,INV-3719,Kumar Garments,test@example.com,94000,INR,completed,wallet,2024-07-11T07:19:30,
ORD-2024-0083,INV-9422,Patel Textiles,test@example.com,265000,INR,completed,upi,2024-07-20T07:21:29,
ORD-2024-0084,INV-4004,Singh Motors,cust808@example.com,2589500,INR,completed,netbanking,2024-07-28T13:13:58,
ORD-2024-0085,INV-2007,Patel Textiles,cust223@example.com,4247000,INR,completed,upi,2024-07-28T13:13:58,
ORD-2024-0086,INV-3056,Gupta Traders,cust12@example.com,4411300,INR,completed,card,2024-07-28T13:13:58,
ORD-2024-0087,INV-5129,Gupta Traders,cust631@example.com,1840900,INR,completed,netbanking,2024-07-02T02:47:54,
ORD-2024-0088,INV-1672,Patel Textiles,cust940@example.com,3495000,INR,completed,netbanking,2024-07-02T02:47:54,
ORD-2024-0089,INV-2153,Kumar Garments,cust746@example.com,497800,INR,completed,netbanking,2024-06-06T01:16:09,
ORD-2024-0090,INV-3292,Sharma Electronics,cust198@example.com,1261600,INR,completed,card,2024-06-06T01:16:09,
ORD-2024-0091,INV-5934,Singh Motors,test@example.com,4856000,INR,completed,wallet,2024-07-14T14:38:12,
ORD-2024-0092,INV-4763,Patel Textiles,test@example.com,210400,INR,completed,wallet,2024-07-02T18:44:49,
ORD-2024-0093,INV-4354,Gupta Traders,test@example.com,2684800,INR,completed,netbanking,2024-06-14T04:49:54,
ORD-2024-0094,INV-3725,Kumar Garments,test@example.com,3020700,INR,completed,upi,2024-06-06T02:55:08,
ORD-2024-0095,INV-1199,Joshi Enterprises,test@example.com,3599200,INR,completed,netbanking,2024-07-03T12:03:41,
ORD-2024-0096,INV-6917,Nair Imports,test@example.com,917300,INR,completed,netbanking,2024-06-13T06:46:20,
ORD-2024-0097,INV-3028,Kumar Garments,test@example.com,4040100,INR,completed,upi,2024-07-15T19:08:18,
ORD-2024-0098,INV-4261,Singh Motors,test@example.com,723300,INR,completed,upi,2024-06-12T12:55:07,
ORD-2024-0099,INV-6779,Joshi Enterprises,test@example.com,3982200,INR,completed,netbanking,2024-07-14T11:54:14,
ORD-2024-0100,INV-9971,Gupta Traders,test@example.com,3873400,INR,completed,card,2024-06-02T11:31:26,
ORD-2024-0101,INV-3003,Singh Motors,test@example.com,1700600,INR,completed,netbanking,2024-07-14T21:53:24,
ORD-2024-0102,INV-9055,Desai Foods,test@example.com,2094100,INR,completed,wallet,2024-07-05T15:25:45,
ORD-2024-0103,INV-2922,Sharma Electronics,test@example.com,4149700,INR,completed,wallet,2024-06-29T23:20:30,
ORD-2024-0104,INV-3161,Patel Textiles,test@example.com,4782500,INR,completed,netbanking,2024-07-14T06:53:40,
ORD-2024-0105,INV-2998,Nair Imports,test@example.com,2875800,INR,completed,netbanking,2024-07-28T06:00:24,
ORD-2024-0106,INV-4673,Gupta Traders,test@example.com,4814200,INR,completed,wallet,2024-07-17T20:43:20,
ORD-2024-0107,INV-9824,Reddy Solutions,test@example.com,316600,INR,completed,card,2024-06-06T15:09:18,
ORD-2024-0108,INV-5975,Reddy Solutions,test@example.com,3217500,INR,completed,upi,2024-06-15T02:12:36,
ORD-2024-0109,INV-8251,Gupta Traders,test@example.com,714400,INR,completed,card,2024-07-21T22:13:48,Discrepancy
ORD-2024-0110,INV-9314,Singh Motors,test@example.com,2768400,INR,completed,card,2024-06-26T20:09:22,Discrepancy
ORD-2024-0111,INV-7694,Patel Textiles,test@example.com,1981300,INR,completed,card,2024-06-19T20:51:13,Discrepancy
ORD-2024-0112,INV-8796,Rao Consulting,test@example.com,4867900,INR,completed,card,2024-07-02T00:04:33,Discrepancy
ORD-2024-0116,INV-1722,Sharma Electronics,test@example.com,417700,INR,completed,upi,2024-07-29T01:12:50,
ORD-2024-0117,INV-1486,Reddy Solutions,test@example.com,1575700,INR,completed,upi,2024-07-03T20:22:08,
ORD-2024-0118,INV-7125,Rao Consulting,test@example.com,1397800,INR,completed,wallet,2024-06-20T16:36:35,
