date,description,credit,debit,balance,reference
22/06/2024,NEFT-UTIB03959807652614-RAZORPAY,45066.0,,689030.25,UTIB03959807652614
22/06/2024,NEFT-UTIB36852906803191-RAZORPAY,30164.0,,719194.25,UTIB36852906803191
23/06/2024,NEFT-UTIB76626521011447-RAZORPAY,28468.9,,747663.15,UTIB76626521011447
24/06/2024,NEFT-UTIB81332608308799-RAZORPAY,19426.0,,767089.15,UTIB81332608308799
24/06/2024,NEFT-UTIB31087276535456-RAZORPAY,15083.43,,782172.58,UTIB31087276535456
24/06/2024,NEFT-UTIB50984591571368-RAZORPAY,22038.33,,804210.91,UTIB50984591571368
25/06/2024,NEFT-UTIB77500166264427-RAZORPAY,36655.0,,840865.91,UTIB77500166264427
26/06/2024,NEFT-UTIB60832798083246-RAZORPAY,5763.69,,846629.6,UTIB60832798083246
27/06/2024,NEFT-UTIB53132870957991-RAZORPAY,47676.0,,894305.6,UTIB53132870957991
27/06/2024,NEFT-UTIB33608528345782-RAZORPAY,27025.78,,921331.38,UTIB33608528345782
27/06/2024,NEFT-UTIB63247762550199-RAZORPAY,26034.73,,947366.11,UTIB63247762550199
28/06/2024,IMPS/RZP/SETL/076774...,7162.88,,954528.99,UTIB07677482569647
28/06/2024,IMPS/RZP/SETL/375560...,17462.92,,971991.91,UTIB37556023384460
29/06/2024,NEFT-UTIB97626609238109-RAZORPAY,24069.0,,996060.91,UTIB97626609238109
29/06/2024,NEFT-UTIB87270651739611-RAZORPAY,49156.0,,1045216.91,UTIB87270651739611
29/06/2024,NEFT-UTIB73104444282962-RAZORPAY,,22479.0,1022737.91,UTIB73104444282962
30/06/2024,NEFT-UTIB90607956393760-RAZORPAY,10093.0,,1032830.91,UTIB90607956393760
30/06/2024,NEFT-UTIB12955705581901-RAZORPAY,35346.0,,1068176.91,UTIB12955705581901
30/06/2024,NEFT-UTIB18907263036596-RAZORPAY,9938.0,,1078114.91,UTIB18907263036596
01/07/2024,NEFT-UTIB36096379402555-RAZORPAY,47858.0,,1125972.91,UTIB36096379402555
02/07/2024,NEFT-UTIB27801813428565-RAZORPAY,34351.0,,1160323.91,UTIB27801813428565
03/07/2024,NEFT-UTIB87577515165051-RAZORPAY,47525.3,,1207849.21,UTIB87577515165051
03/07/2024,NEFT-UTIB09775041098620-RAZORPAY-SETL,52099.73,,1259948.94,UTIB09775041098620
03/07/2024,NEFT-UTIB30428196192744-RAZORPAY,45660.0,,1305608.94,UTIB30428196192744
03/07/2024,NEFT-UTIB60184138676619-RAZORPAY,,2104.0,1303504.94,UTIB60184138676619
04/07/2024,NEFT-UTIB89068715240970-RAZORPAY,8025.0,,1311529.94,UTIB89068715240970
04/07/2024,NEFT-UTIB86993465063743-RAZORPAY,,35992.0,1275537.94,UTIB86993465063743
04/07/2024,NEFT-UTIB37219300121570-RAZORPAY,15385.14,,1290923.08,UTIB37219300121570
05/07/2024,NEFT-UTIB86824922997764-RAZORPAY,11374.0,,1302297.08,UTIB86824922997764
06/07/2024,NEFT-UTIB34343225855124-RAZORPAY,22954.0,,1325251.08,UTIB34343225855124
07/07/2024,NEFT-UTIB42545876026850-RAZORPAY,11591.0,,1336842.08,UTIB42545876026850
07/07/2024,NEFT-UTIB33862799779028-RAZORPAY,16481.64,,1353323.72,UTIB33862799779028
07/07/2024,NEFT-UTIB74690219647212-RAZORPAY,24527.0,,1377850.72,UTIB74690219647212
07/07/2024,NEFT-UTIB01312434083790-RAZORPAY,3491.0,,1381341.72,UTIB01312434083790
07/07/2024,NEFT-UTIB11669703796772-RAZORPAY,20488.0,,1401829.72,UTIB11669703796772
08/07/2024,NEFT-UTIB79157866036884-RAZORPAY,37179.36,,1439009.08,UTIB79157866036884
08/07/2024,NEFT-UTIB31311979619697-RAZORPAY,37401.0,,1476410.08,UTIB31311979619697
09/07/2024,NEFT-UTIB75957154386329-RAZORPAY,48513.42,,1524923.5,UTIB75957154386329
10/07/2024,NEFT-UTIB88499225074553-RAZORPAY,5059.71,,1529983.21,UTIB88499225074553
10/07/2024,NEFT-UTIB40133290159177-RAZORPAY,29423.0,,1559406.21,UTIB40133290159177
10/07/2024,IMPS/RZP/SETL/335039...,48368.91,,1607775.12,UTIB33503969410813
11/07/2024,NEFT-UTIB31663077476844-RAZORPAY,46779.0,,1654554.12,UTIB31663077476844
12/07/2024,IMPS/RZP/SETL/565053...,917.82,,1655471.94,UTIB56505397018335
13/07/2024,NEFT-UTIB44046319080078-RAZORPAY,30218.0,,1685689.94,UTIB44046319080078
14/07/2024,NEFT-UTIB98376649331652-RAZORPAY,32926.17,,1718616.11,UTIB98376649331652
15/07/2024,NEFT-UTIB93849309818193-RAZORPAY,7817.0,,1726433.11,UTIB93849309818193
15/07/2024,NEFT-UTIB82632073568308-RAZORPAY,13967.0,,1740400.11,UTIB82632073568308
15/07/2024,NEFT-UTIB17416665485349-RAZORPAY,,39822.0,1700578.11,UTIB17416665485349
15/07/2024,NEFT-UTIB48762654960149-RAZORPAY,,48560.0,1652018.11,UTIB48762654960149
16/07/2024,NEFT-UTIB75043453215725-RAZORPAY,20527.0,,1672545.11,UTIB75043453215725
16/07/2024,NEFT-UTIB10441065490300-RAZORPAY,,40401.0,1632144.11,UTIB10441065490300
17/07/2024,NEFT-UTIB95261882163121-RAZORPAY,29866.13,,1662010.24,UTIB95261882163121
18/07/2024,IMPS/RZP/SETL/195709...,40062.67,,1702072.91,UTIB19570934706339
18/07/2024,NEFT-UTIB92810456189025-RAZORPAY,8107.0,,1710179.91,UTIB92810456189025
18/07/2024,NEFT-UTIB27724535688615-RAZORPAY,43680.24,,1753860.15,UTIB27724535688615
18/07/2024,NEFT-UTIB31432604316059-RAZORPAY,47005.85,,1800866.0,UTIB31432604316059
20/07/2024,NEFT-UTIB71865953750073-RAZORPAY,207.0,,1801073.0,UTIB71865953750073
21/07/2024,IMPS/RZP/SETL/635383...,2587.46,,1803660.46,UTIB63538312341120
22/07/2024,NEFT-UTIB46275714989569-RAZORPAY,6970.52,,1810630.98,UTIB46275714989569
23/07/2024,NEFT-UTIB75522364065667-RAZORPAY,33104.85,,1843735.83,UTIB75522364065667
24/07/2024,NEFT-UTIB58233459268687-RAZORPAY,5071.0,,1848806.83,UTIB58233459268687
24/07/2024,NEFT-UTIB27809489087178-RAZORPAY,13442.0,,1862248.83,UTIB27809489087178
25/07/2024,NEFT-UTIB29044724810891-RAZORPAY,46122.0,,1908370.83,UTIB29044724810891
26/07/2024,NEFT-UTIB87619490111373-RAZORPAY,19857.0,,1928227.83,UTIB87619490111373
27/07/2024,NEFT-UTIB49264378224401-RAZORPAY,,7470.0,1920757.83,UTIB49264378224401
27/07/2024,NEFT-UTIB50439704058796-RAZORPAY,43057.29,,1963815.12,UTIB50439704058796
27/07/2024,NEFT-UTIB33840628062744-RAZORPAY,25788.0,,1989603.12,UTIB33840628062744
29/07/2024,NEFT-UTIB74189446742286-RAZORPAY-SETL,109823.53,,2099426.65,UTIB74189446742286
29/07/2024,NEFT-UTIB66366261817111-RAZORPAY,22126.21,,2121552.86,UTIB66366261817111
30/07/2024,NEFT-UTIB51075891534611-RAZORPAY,4078.43,,2125631.29,UTIB51075891534611
30/07/2024,NEFT-UTIB37236364693666-RAZORPAY,6106.0,,2131737.29,UTIB37236364693666
30/07/2024,NEFT-UTIB21168643164564-RAZORPAY,30248.88,,2161986.17,UTIB21168643164564
